69.4512s
69.3189s
68.5075s
68.5385s
68.4621s
68.9488s
68.2545s
68.6489s
68.4482s
68.299s
68.2908s
68.3605s
68.4022s
68.4422s
68.2784s
68.0225s
68.0917s
68.3482s
67.9095s
68.1149s
68.5572s
68.7271s
68.721s
68.7422s
68.2131s
68.5741s
69.1731s
68.2985s
69.6327s
70.9224s
69.5949s
68.7792s
69.1594s
68.9094s
68.7956s
68.6842s
68.5022s
68.8578s
68.3166s
68.5215s
69.4681s
68.6279s
69.6042s
68.5117s
68.1488s
68.2626s
81.8814s
70.2652s
68.8194s
69.009s
