0.0030583s
0.002547s
0.0024937s
0.0029953s
0.0027625s
0.0027825s
0.0022983s
0.0028623s
0.0028982s
0.0027994s
0.0023063s
0.0022282s
0.002225s
0.0032925s
0.0023669s
0.0023597s
0.0024225s
0.002374s
0.0026181s
0.002423s
0.0022807s
0.0022973s
0.0022256s
0.0023432s
0.0031914s
0.0026941s
0.0023485s
0.002374s
0.0024612s
0.0024624s
0.0029158s
0.0026781s
0.0023172s
0.0023832s
0.0023371s
0.0023422s
0.0023129s
0.0023481s
0.0023072s
0.0023835s
0.0022991s
0.0026965s
0.0025286s
0.0024315s
0.0023094s
0.002441s
0.002438s
0.0023667s
0.0022286s
0.002226s
