0.70167s
0.690353s
0.685313s
0.69603s
0.695624s
0.681181s
0.684157s
0.683119s
0.680857s
0.680686s
0.687916s
0.685344s
0.680072s
0.686709s
0.683016s
0.683387s
0.688251s
0.709676s
0.694954s
0.693334s
0.691225s
0.684172s
0.729867s
0.730516s
0.710475s
0.728777s
0.707399s
0.695491s
0.690889s
0.693556s
0.699508s
0.689993s
0.705061s
0.683747s
0.688162s
0.691351s
0.70204s
0.706097s
0.686836s
0.692298s
0.679825s
0.68591s
0.683624s
0.686641s
0.687978s
0.682812s
0.689835s
0.68705s
0.683889s
0.678529s
