0.105052s
0.0897421s
0.0970055s
0.0919332s
0.109023s
0.104263s
0.102977s
0.0862787s
0.0935841s
0.0927575s
0.0910456s
0.0919196s
0.0872874s
0.0926028s
0.0882134s
0.0900423s
0.0924628s
0.0851918s
0.0884877s
0.0906931s
0.0866815s
0.0912918s
0.0887633s
0.0952916s
0.110772s
0.102614s
0.0961638s
0.125307s
0.116098s
0.11653s
0.123169s
0.10718s
0.104256s
0.0911257s
0.110229s
0.0956721s
0.102008s
0.0990089s
0.106731s
0.0935511s
0.0900175s
0.0868127s
0.0983563s
0.0907805s
0.0872671s
0.0969512s
0.091641s
0.0979255s
0.0884237s
0.0914849s
